Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
512_1	1.793373	0.014746	0.000077	0.433061
512_2	1.767755	0.014789	0.000077	0.400793
512_4	1.764897	0.014788	0.000077	0.393147
512_8	1.762777	0.014788	0.000077	0.389457
1_1	1.750668	0.014757	0.000077	0.373111
1_2	1.718815	0.014793	0.000077	0.332173
1_4	1.712208	0.014794	0.000077	0.322489
1_8	1.710520	0.014796	0.000077	0.318634
2_1	1.793373	0.014746	0.000077	0.433061
2_2	1.688129	0.014791	0.000077	0.292739
2_4	1.678833	0.014793	0.000077	0.282144
2_8	1.679650	0.014798	0.000077	0.282163
4_1	1.657437	0.014788	0.000077	0.257854
4_2	1.655891	0.014790	0.000077	0.252778
4_4	1.654372	0.014790	0.000077	0.251939
4_8	1.653848	0.014796	0.000077	0.251734
