Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.834907	0.032010	0.000064	0.046352
16_2	1.731636	0.023852	0.000063	0.061102
16_4	1.708060	0.021815	0.000063	0.066902
16_8	1.698650	0.021047	0.000063	0.069366
32_1	1.748179	0.024272	0.000063	0.060943
32_2	1.684356	0.019126	0.000063	0.076509
32_4	1.670752	0.017940	0.000063	0.081663
32_8	1.663753	0.017341	0.000063	0.084556
64_1	1.699092	0.019430	0.000063	0.075985
64_2	1.648893	0.015236	0.000063	0.096599
64_4	1.632543	0.013808	0.000063	0.106915
64_8	1.626608	0.013266	0.000063	0.111428
128_1	1.648463	0.014456	0.000063	0.102720
128_2	1.611641	0.011181	0.000063	0.133063
128_4	1.601575	0.010149	0.000063	0.147212
128_8	1.593068	0.009361	0.000063	0.160218
