Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.650040	0.015236	0.000279	0.096453
16_2	1.648898	0.015236	0.000080	0.096624
16_4	1.649052	0.015236	0.000075	0.096618
16_8	1.648590	0.015236	0.000073	0.096623
32_1	1.649585	0.015236	0.000082	0.096591
32_2	1.648893	0.015236	0.000063	0.096599
32_4	1.648958	0.015236	0.000047	0.096603
32_8	1.648962	0.015237	0.000043	0.096604
64_1	1.648984	0.015236	0.000055	0.096575
64_2	1.648892	0.015236	0.000045	0.096576
64_4	1.648985	0.015236	0.000041	0.096571
64_8	1.648831	0.015237	0.000039	0.096573
128_1	1.648889	0.015236	0.000044	0.096572
128_2	1.648780	0.015236	0.000040	0.096570
128_4	1.648935	0.015236	0.000039	0.096570
128_8	1.648889	0.015236	0.000039	0.096570
