Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
512_1	1.188545	0.001638	0.000220	0.087462
512_2	1.187967	0.001637	0.000221	0.078214
512_4	1.187917	0.001637	0.000221	0.077760
512_8	1.187917	0.001637	0.000221	0.077760
1_1	1.187917	0.001637	0.000221	0.077760
1_2	1.187917	0.001637	0.000221	0.077760
1_4	1.187917	0.001637	0.000221	0.077760
1_8	1.187917	0.001637	0.000221	0.077760
2_1	1.188545	0.001638	0.000220	0.087462
2_2	1.187917	0.001637	0.000221	0.077760
2_4	1.187917	0.001637	0.000221	0.077760
2_8	1.187917	0.001637	0.000221	0.077760
4_1	1.187917	0.001637	0.000221	0.077760
4_2	1.187917	0.001637	0.000221	0.077760
4_4	1.187917	0.001637	0.000221	0.077760
4_8	1.187917	0.001637	0.000221	0.077760
