Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.347053	0.013128	0.000470	0.003034
16_2	1.198061	0.002238	0.000470	0.016525
16_4	1.180538	0.000675	0.000468	0.046824
16_8	1.179949	0.000620	0.000468	0.050215
32_1	1.284696	0.008327	0.000470	0.004729
32_2	1.183120	0.000991	0.000470	0.035649
32_4	1.179721	0.000589	0.000468	0.052356
32_8	1.179632	0.000584	0.000468	0.052752
64_1	1.230717	0.004127	0.000468	0.009341
64_2	1.179864	0.000544	0.000468	0.056276
64_4	1.179175	0.000475	0.000468	0.062457
64_8	1.179214	0.000491	0.000468	0.060787
128_1	1.188111	0.001109	0.000468	0.030217
128_2	1.178440	0.000237	0.000468	0.101365
128_4	1.178261	0.000215	0.000468	0.108578
128_8	1.178082	0.000176	0.000466	0.122922
