Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.286830	0.000544	0.032882	0.003362
16_2	1.180635	0.000544	0.000773	0.048814
16_4	1.180106	0.000544	0.000542	0.054281
16_8	1.180004	0.000544	0.000504	0.055284
32_1	1.285454	0.000544	0.032382	0.003417
32_2	1.179864	0.000544	0.000468	0.056276
32_4	1.179338	0.000544	0.000241	0.063480
32_8	1.179065	0.000544	0.000080	0.069827
64_1	1.179941	0.000544	0.000410	0.058061
64_2	1.179064	0.000544	0.000074	0.070083
64_4	1.179032	0.000544	0.000050	0.071219
64_8	1.179003	0.000544	0.000044	0.071454
128_1	1.179791	0.000544	0.000344	0.060090
128_2	1.178976	0.000544	0.000040	0.071665
128_4	1.178976	0.000544	0.000039	0.071709
128_8	1.178989	0.000544	0.000039	0.071687
