Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
512_1	3.507046	0.060972	0.000094	0.999944
512_2	3.507046	0.060972	0.000094	0.999944
512_4	3.507046	0.060972	0.000094	0.999944
512_8	3.507046	0.060972	0.000094	0.999944
1_1	3.495444	0.060972	0.000094	0.999944
1_2	3.495444	0.060972	0.000094	0.999944
1_4	3.495444	0.060972	0.000094	0.999944
1_8	3.495444	0.060972	0.000094	0.999944
2_1	3.507046	0.060972	0.000094	0.999944
2_2	3.493415	0.060972	0.000094	0.999944
2_4	3.493415	0.060972	0.000094	0.999944
2_8	3.493415	0.060972	0.000094	0.999944
4_1	3.489639	0.060972	0.000094	0.999944
4_2	3.489639	0.060972	0.000094	0.999944
4_4	3.489639	0.060972	0.000094	0.999944
4_8	3.489639	0.060972	0.000094	0.999944
