Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	2.147744	0.026096	0.000135	0.508081
16_2	1.989325	0.015247	0.000135	0.999106
16_4	1.989308	0.015245	0.000134	0.999444
16_8	1.989308	0.015245	0.000134	0.999450
32_1	2.070940	0.020668	0.000134	0.673971
32_2	1.989308	0.015245	0.000135	0.999442
32_4	1.989308	0.015244	0.000134	0.999474
32_8	1.989308	0.015244	0.000134	0.999484
64_1	2.034137	0.017953	0.000134	0.805607
64_2	1.989308	0.015244	0.000134	0.999474
64_4	1.989308	0.015244	0.000134	0.999484
64_8	1.989308	0.015244	0.000134	0.999484
128_1	2.013047	0.016598	0.000134	0.892595
128_2	1.989308	0.015244	0.000134	0.999482
128_4	1.989308	0.015244	0.000134	0.999484
128_8	1.989308	0.015244	0.000134	0.999484
