Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.989360	0.015244	0.000256	0.998495
16_2	1.989325	0.015244	0.000172	0.999171
16_4	1.989325	0.015244	0.000169	0.999197
16_8	1.989325	0.015244	0.000147	0.999372
32_1	1.989360	0.015244	0.000207	0.998889
32_2	1.989308	0.015244	0.000134	0.999474
32_4	1.989308	0.015244	0.000114	0.999637
32_8	1.989308	0.015244	0.000101	0.999748
64_1	1.989308	0.015244	0.000121	0.999584
64_2	1.989308	0.015244	0.000090	0.999833
64_4	1.989308	0.015244	0.000089	0.999842
64_8	1.989308	0.015244	0.000081	0.999903
128_1	1.989308	0.015244	0.000095	0.999793
128_2	1.989308	0.015244	0.000082	0.999901
128_4	1.989308	0.015244	0.000081	0.999909
128_8	1.989308	0.015244	0.000080	0.999911
