Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
512_1	1.310856	0.002108	0.023613	0.066484
512_2	1.308554	0.002108	0.023613	0.064747
512_4	1.307913	0.002108	0.023613	0.063909
512_8	1.307601	0.002108	0.023612	0.063760
1_1	1.305866	0.002108	0.023612	0.061876
1_2	1.303571	0.002108	0.023612	0.059447
1_4	1.303669	0.002108	0.023612	0.059298
1_8	1.303750	0.002108	0.023612	0.059346
2_1	1.310856	0.002108	0.023613	0.066484
2_2	1.299192	0.002108	0.023612	0.055223
2_4	1.299037	0.002108	0.023612	0.055085
2_8	1.299095	0.002108	0.023612	0.055046
4_1	1.298512	0.002108	0.023612	0.054613
4_2	1.298512	0.002108	0.023612	0.054613
4_4	1.298512	0.002108	0.023612	0.054613
4_8	1.298512	0.002108	0.023612	0.054613
