Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.319869	0.015167	0.013127	0.091992
16_2	1.270126	0.004606	0.013165	0.148548
16_4	1.268458	0.004049	0.013171	0.153231
16_8	1.268458	0.004030	0.013171	0.153429
32_1	1.289922	0.007979	0.013147	0.120651
32_2	1.262796	0.003663	0.013171	0.155508
32_4	1.261432	0.003492	0.013171	0.156955
32_8	1.263038	0.003610	0.013171	0.156395
64_1	1.264274	0.003841	0.013170	0.153777
64_2	1.259307	0.003208	0.013171	0.158587
64_4	1.258105	0.003062	0.013171	0.159661
64_8	1.257777	0.003030	0.013171	0.159867
128_1	1.261533	0.003448	0.013170	0.156716
128_2	1.258188	0.003043	0.013171	0.159894
128_4	1.257777	0.002993	0.013171	0.160247
128_8	1.257777	0.002985	0.013171	0.160323
