Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	1.758375	0.003208	0.089490	0.028348
16_2	1.342546	0.003208	0.026705	0.086708
16_4	1.189151	0.003208	0.002016	0.502785
16_8	1.178433	0.003208	0.000027	0.829396
32_1	1.441968	0.003208	0.043943	0.055032
32_2	1.259307	0.003208	0.013171	0.158587
32_4	1.178433	0.003208	0.000026	0.829483
32_8	1.178433	0.003208	0.000026	0.829500
64_1	1.178562	0.003208	0.000048	0.823690
64_2	1.178433	0.003208	0.000026	0.829457
64_4	1.178433	0.003208	0.000026	0.829527
64_8	1.178433	0.003208	0.000026	0.829527
128_1	1.178433	0.003208	0.000026	0.829483
128_2	1.178433	0.003208	0.000026	0.829527
128_4	1.178433	0.003208	0.000026	0.829527
128_8	1.178433	0.003208	0.000026	0.829527
