Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
512_1	10.274171	0.121831	0.000020	0.999975
512_2	10.274415	0.121831	0.000020	0.999973
512_4	10.274384	0.121831	0.000020	0.999972
512_8	10.272980	0.121831	0.000020	0.999972
1_1	10.273011	0.121831	0.000020	0.999972
1_2	10.273017	0.121831	0.000020	0.999972
1_4	10.272934	0.121831	0.000020	0.999972
1_8	10.273017	0.121831	0.000020	0.999972
2_1	10.274171	0.121831	0.000020	0.999975
2_2	10.270140	0.121831	0.000020	0.999972
2_4	10.270525	0.121831	0.000020	0.999972
2_8	10.270140	0.121831	0.000020	0.999972
4_1	10.265352	0.121831	0.000020	0.999972
4_2	10.264962	0.121831	0.000020	0.999972
4_4	10.265169	0.121831	0.000020	0.999972
4_8	10.264962	0.121831	0.000020	0.999972
