Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	5.254758	0.033071	0.000011	0.853928
16_2	5.172786	0.030532	0.000011	0.995338
16_4	5.171601	0.030462	0.000011	0.999847
16_8	5.171601	0.030461	0.000011	0.999865
32_1	5.251020	0.032772	0.000011	0.868389
32_2	5.172007	0.030490	0.000011	0.998040
32_4	5.171540	0.030461	0.000011	0.999880
32_8	5.171540	0.030461	0.000011	0.999884
64_1	5.249775	0.032660	0.000011	0.874006
64_2	5.171696	0.030472	0.000011	0.999168
64_4	5.171540	0.030461	0.000011	0.999891
64_8	5.171540	0.030461	0.000011	0.999892
128_1	5.249247	0.032608	0.000011	0.876599
128_2	5.171696	0.030467	0.000011	0.999509
128_4	5.171540	0.030461	0.000011	0.999897
128_8	5.171540	0.030461	0.000011	0.999898
