Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
16_1	5.173158	0.030472	0.000273	0.992914
16_2	5.171791	0.030472	0.000014	0.999110
16_4	5.171791	0.030472	0.000014	0.999119
16_8	5.171696	0.030472	0.000010	0.999208
32_1	5.171791	0.030472	0.000013	0.999128
32_2	5.171696	0.030472	0.000011	0.999168
32_4	5.171696	0.030472	0.000010	0.999198
64_1	5.171693	0.030472	0.000011	0.999188
64_2	5.171791	0.030472	0.000009	0.999218
64_4	5.171667	0.030472	0.000009	0.999227
64_8	5.171601	0.030472	0.000009	0.999234
128_1	5.171693	0.030472	0.000009	0.999226
128_2	5.171667	0.030472	0.000009	0.999234
128_4	5.171666	0.030472	0.000009	0.999234
128_8	5.171696	0.030472	0.000009	0.999234
